communityname,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,ViolentCrimesPerPop,state_1,state_2,state_4,state_5,state_6,state_8,state_9,state_10,state_11,state_12,state_13,state_16,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_27,state_28,state_29,state_32,state_33,state_34,state_35,state_36,state_37,state_38,state_39,state_40,state_41,state_42,state_44,state_45,state_46,state_47,state_48,state_49,state_50,state_51,state_53,state_54,state_55,state_56,>0.06black,high_crime
LongBranchcity,2,0.03,0.35,0.38,0.6,0.09,0.25,0.31,0.47,0.28,0.5,0.05,1.0,0.31,0.52,0.24,0.42,0.53,0.43,0.37,0.31,0.38,0.44,0.25,0.42,0.32,0.25,0.04,0.38,0.37,0.49,0.31,0.56,0.48,0.21,0.48,0.36,0.42,0.57,0.6,0.64,0.63,0.49,0.33,0.33,0.47,0.15,0.49,0.51,0.03,0.52,0.02,0.48,0.54,0.5,0.51,0.36,0.35,0.3,0.28,0.63,0.35,0.37,0.29,0.37,0.47,0.34,0.32,0.25,0.72,0.0,0.11,0.34,0.3,0.2,0.7,0.31,0.3,0.29,0.36,0.37,0.38,0.49,0.51,0.56,0.51,0.6,0.82,1.0,0.0,0.0,0.31,0.57,0.59,0.77,0.7,0.01,0.46,0.34,0.0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Waterburytown,10,0.16,0.37,0.25,0.69,0.04,0.25,0.35,0.5,0.31,0.54,0.17,1.0,0.31,0.47,0.17,0.45,0.58,0.48,0.57,0.35,0.31,0.34,0.25,0.19,0.28,0.28,0.12,0.31,0.52,0.58,0.21,0.5,0.46,0.63,0.4,0.54,0.32,0.5,0.53,0.5,0.52,0.47,0.42,0.42,0.47,0.47,0.38,0.46,0.13,0.54,0.06,0.12,0.17,0.24,0.26,0.07,0.09,0.11,0.12,0.6,0.28,0.26,0.22,0.39,0.45,0.37,0.38,0.15,0.66,0.0,0.21,0.65,0.37,0.53,0.45,0.29,0.31,0.29,0.33,0.32,0.29,0.28,0.34,0.39,0.37,0.52,0.58,0.53,0.06,0.02,0.25,0.68,0.61,0.79,0.76,0.08,0.32,0.18,0.91,0.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cerescity,8,0.03,0.66,0.03,0.67,0.31,0.42,0.43,0.52,0.28,0.26,0.04,1.0,0.32,0.56,0.43,0.25,0.39,0.74,0.36,0.29,0.22,0.24,0.38,0.21,0.18,0.31,0.04,0.41,0.42,0.57,0.12,0.68,0.41,0.51,0.25,0.65,0.22,0.49,0.28,0.59,0.57,0.67,0.67,0.66,0.65,0.68,0.36,0.39,0.01,0.18,0.02,0.3,0.33,0.37,0.47,0.26,0.25,0.26,0.3,0.61,0.34,0.45,0.47,0.71,0.64,0.77,0.54,0.49,0.44,0.5,0.02,0.8,0.58,0.03,0.19,0.81,0.06,0.26,0.3,0.3,0.27,0.34,0.36,0.38,0.35,0.66,0.68,0.35,0.0,0.0,0.37,0.6,0.25,0.44,0.79,0.01,0.39,0.02,0.0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopewelltownship,10,0.0,0.59,0.08,0.91,0.08,0.02,0.36,0.34,0.23,0.38,0.0,0.19,0.89,0.7,1.0,0.9,0.46,0.06,0.6,0.85,0.84,0.83,0.27,0.29,0.38,1.0,0.0,0.03,0.12,0.17,0.76,0.06,0.6,0.25,0.8,0.08,0.87,0.21,0.44,0.15,0.18,0.49,0.94,0.94,0.96,0.93,0.49,0.49,0.0,0.03,0.0,0.13,0.11,0.13,0.15,0.05,0.04,0.04,0.04,0.87,0.05,0.15,0.18,0.59,0.58,0.34,0.94,0.02,0.09,0.5,0.01,0.88,0.92,0.1,0.45,0.44,0.0,0.13,0.57,0.61,0.7,0.54,0.57,0.73,0.64,0.78,0.39,0.46,0.0,0.0,0.16,0.58,0.85,0.78,0.78,0.17,0.02,0.17,0.0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Corsicanacity,5,0.02,0.45,0.5,0.51,0.05,0.17,0.49,0.49,0.36,0.58,0.0,0.0,0.16,0.33,0.56,0.29,0.64,0.4,0.45,0.18,0.2,0.27,0.14,0.09,0.16,0.22,0.04,0.56,0.57,0.63,0.24,0.53,0.32,0.38,0.48,0.62,0.34,0.53,0.4,0.56,0.57,0.48,0.47,0.43,0.52,0.61,0.51,0.59,0.02,0.29,0.01,0.51,0.52,0.56,0.77,0.15,0.13,0.13,0.17,0.85,0.11,0.31,0.28,0.42,0.36,0.53,0.48,0.27,0.54,0.5,0.05,0.54,0.53,0.22,0.78,0.5,0.74,0.28,0.04,0.05,0.07,0.1,0.17,0.19,0.18,0.47,0.37,0.61,0.0,0.0,0.12,0.85,0.54,0.72,0.84,0.06,0.09,0.01,0.0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Oceansidecity,3,0.19,0.49,0.15,0.62,0.37,0.42,0.35,0.53,0.33,0.47,0.2,1.0,0.36,0.49,0.27,0.5,0.5,0.37,0.75,0.34,0.32,0.37,0.26,0.27,0.24,0.27,0.12,0.26,0.25,0.31,0.29,0.43,0.48,0.32,0.27,0.37,0.34,0.48,0.33,0.58,0.55,0.49,0.64,0.6,0.68,0.55,0.48,0.46,0.07,0.28,0.13,0.43,0.51,0.54,0.56,0.48,0.49,0.48,0.45,0.59,0.4,0.43,0.4,0.53,0.43,0.64,0.43,0.44,0.64,0.0,0.23,0.65,0.49,0.04,0.18,0.81,0.21,0.21,0.39,0.43,0.45,0.62,0.58,0.63,0.57,0.81,0.92,0.21,0.03,1.0,0.46,0.32,0.2,0.33,0.39,0.12,0.26,0.23,0.67,0.42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rosemeadcity,7,0.07,1.0,0.01,0.01,1.0,0.92,0.55,0.62,0.42,0.26,0.08,1.0,0.3,0.61,0.29,0.28,0.33,0.86,0.32,0.25,0.16,0.24,0.28,0.16,0.2,0.3,0.09,0.53,0.9,0.82,0.14,0.55,0.38,0.49,0.25,0.65,0.18,0.29,0.65,0.41,0.37,1.0,0.61,0.54,0.63,0.63,0.27,0.16,0.05,0.43,0.17,0.43,0.48,0.54,0.69,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,1.0,0.29,1.0,0.79,0.0,0.02,0.91,0.37,0.21,0.4,0.38,0.19,0.57,0.48,0.5,0.5,0.55,0.56,0.63,0.56,0.74,0.68,0.24,0.0,0.01,1.0,0.35,0.43,0.74,0.59,0.01,0.84,0.31,0.0,0.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Phoenixcity,7,1.0,0.44,0.1,0.72,0.1,0.37,0.41,0.53,0.33,0.3,1.0,1.0,0.29,0.64,0.21,0.38,0.36,0.27,0.37,0.3,0.31,0.34,0.23,0.12,0.29,0.26,1.0,0.37,0.3,0.36,0.31,0.41,0.57,0.31,0.33,0.34,0.4,0.69,0.47,0.72,0.73,0.54,0.54,0.53,0.58,0.55,0.51,0.53,0.72,0.36,0.57,0.43,0.53,0.57,0.61,0.26,0.28,0.27,0.27,0.68,0.25,0.39,0.34,0.47,0.51,0.43,0.52,0.33,0.57,0.0,1.0,0.48,0.5,0.29,0.32,0.71,0.42,0.24,0.16,0.15,0.17,0.31,0.31,0.35,0.31,0.55,0.56,0.42,1.0,0.63,0.25,0.29,0.4,0.65,0.44,1.0,0.2,0.18,0.26,0.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WarrensvilleHeightscity,4,0.01,0.34,1.0,0.0,0.05,0.01,0.44,0.46,0.29,0.31,0.02,1.0,0.27,0.67,0.13,0.18,0.36,0.43,0.52,0.27,0.28,0.32,0.34,0.34,0.34,0.52,0.01,0.26,0.19,0.39,0.18,0.62,0.57,0.49,0.55,0.59,0.32,0.76,0.47,1.0,0.96,0.42,0.14,0.18,0.06,0.06,0.73,0.9,0.02,0.67,0.0,0.51,0.55,0.5,0.55,0.09,0.08,0.07,0.07,0.93,0.03,0.18,0.17,0.38,0.52,0.3,0.41,0.12,0.53,0.5,0.02,0.79,0.36,0.44,0.2,0.46,0.1,0.13,0.13,0.11,0.09,0.39,0.34,0.34,0.32,0.31,0.56,0.47,0.0,0.0,0.07,0.67,0.7,0.96,0.92,0.01,0.33,0.56,0.0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Germantownvillage,8,0.01,0.5,0.01,0.99,0.03,0.01,0.39,0.49,0.27,0.21,0.02,1.0,0.52,0.83,0.74,0.71,0.3,0.06,0.33,0.48,0.39,0.38,0.0,0.28,0.34,0.22,0.0,0.05,0.14,0.2,0.34,0.1,0.81,0.67,0.23,0.47,0.42,0.29,0.32,0.34,0.32,0.51,0.86,0.88,0.91,0.82,0.78,0.78,0.0,0.04,0.0,0.0,0.03,0.18,0.15,0.0,0.0,0.02,0.02,0.96,0.04,0.16,0.18,0.55,0.61,0.34,0.77,0.04,0.38,0.5,0.01,0.89,0.72,0.0,0.36,0.75,0.01,0.09,0.23,0.21,0.2,0.52,0.44,0.44,0.44,0.16,0.53,0.49,0.0,0.0,0.06,0.9,0.53,0.4,0.86,0.1,0.03,0.04,0.0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kissimmeecity,9,0.03,0.44,0.18,0.75,0.14,0.27,0.45,0.63,0.41,0.26,0.05,1.0,0.26,0.76,0.29,0.27,0.29,0.21,0.32,0.25,0.23,0.25,0.17,0.15,0.24,0.27,0.03,0.3,0.27,0.41,0.2,0.33,0.7,0.09,0.1,0.31,0.26,0.66,0.45,0.66,0.68,0.45,0.53,0.53,0.56,0.63,0.67,0.71,0.02,0.29,0.02,0.29,0.49,0.48,0.59,0.17,0.25,0.22,0.25,0.7,0.24,0.24,0.22,0.47,0.52,0.47,0.32,0.31,0.68,0.0,0.12,0.28,0.32,0.05,0.2,0.88,0.55,0.31,0.16,0.14,0.13,0.44,0.39,0.4,0.42,0.56,0.51,0.28,0.0,0.0,0.24,0.16,0.17,0.07,0.0,0.03,0.2,0.02,0.0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SouthPasadenacity,1,0.02,0.28,0.06,0.54,1.0,0.25,0.31,0.48,0.27,0.37,0.04,1.0,0.52,0.68,0.2,0.61,0.28,0.15,0.25,0.62,0.72,0.76,0.77,0.28,0.52,0.6,0.01,0.12,0.13,0.12,0.8,0.1,0.65,0.19,0.77,0.06,0.91,0.49,0.57,0.61,0.58,0.44,0.62,0.69,0.87,0.53,0.3,0.43,0.0,0.11,0.04,0.3,0.35,0.43,0.47,0.5,0.5,0.56,0.57,0.45,0.28,0.25,0.19,0.29,0.53,0.18,0.39,0.26,0.73,0.0,0.02,0.84,0.3,0.16,0.28,0.25,0.02,0.05,0.94,1.0,1.0,0.67,0.63,0.68,0.62,0.47,0.59,0.11,0.0,0.0,0.7,0.42,0.49,0.73,0.64,0.01,0.58,0.1,0.0,0.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilberttown,5,0.03,0.68,0.03,0.86,0.1,0.21,0.48,0.58,0.31,0.05,0.05,0.98,0.49,0.86,0.59,0.41,0.11,0.12,0.17,0.44,0.33,0.33,0.31,0.11,0.33,0.34,0.02,0.15,0.1,0.13,0.47,0.23,0.8,0.44,0.36,0.28,0.47,0.35,0.32,0.43,0.41,0.74,0.8,0.84,0.84,0.74,0.44,0.51,0.01,0.14,0.01,0.32,0.44,0.44,0.4,0.09,0.11,0.1,0.08,0.84,0.07,0.52,0.53,0.75,0.82,0.53,0.68,0.23,0.35,0.5,0.07,0.5,0.63,0.07,0.32,0.98,0.1,0.06,0.24,0.25,0.25,0.37,0.35,0.41,0.35,0.36,0.72,0.43,0.0,0.0,0.12,0.3,0.01,0.33,0.02,0.08,0.09,0.03,0.0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
