dataset,transform,model,split_id,Accuracy,Accuracy_sex_0,Accuracy_sex_0-sex_1,Accuracy_sex_0/sex_1,Accuracy_sex_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,prob_pos,prob_pos_sex_0,prob_pos_sex_0-sex_1,prob_pos_sex_0/sex_1,prob_pos_sex_1,seed
Compas Sex,Upsample uniform,SVM,4,0.673419773095624,0.6851063829787234,0.014435712308052741,0.9789292397988052,0.6706706706706707,0.6657796348076597,0.8481673162524226,0.6180094786729857,0.7514880952380952,0.8157894736842105,0.08309716599190288,0.8981389578163771,0.7326923076923076,0.5800711743772242,0.4457831325301205,0.1575571597454536,0.7388585483803728,0.6033402922755741,0.3995137763371151,0.2765957446808511,0.15183268374757736,0.6456054881686221,0.4284284284284284,9640.0
Compas Sex,Upsample uniform,Majority,4,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,9640.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",5,0.666936790923825,0.6808510638297872,0.017187400166123527,0.974756006006006,0.6636636636636637,0.6586621970852398,0.9034822056098653,0.6074498567335244,0.7514880952380952,0.7828947368421053,0.040587044534412975,0.9481577246283128,0.7423076923076923,0.5658362989323843,0.4939759036144578,0.0843121965943105,0.8542038188856508,0.5782881002087683,0.3930307941653161,0.3148936170212766,0.0965177943901348,0.7653983537816431,0.4114114114114114,12050.0
Compas Sex,Upsample uniform,SVM,5,0.6709886547811994,0.7234042553191491,0.06474559666049029,0.9104987340281456,0.6586586586586587,0.6559746229452634,0.8704236151044662,0.5744234800838576,0.8244047619047619,0.8947368421052632,0.09089068825910927,0.8984162895927602,0.8038461538461539,0.4875444839857651,0.40963855421686746,0.09140528711924943,0.8175702811244979,0.5010438413361169,0.31766612641815234,0.2127659574468085,0.12957638489553386,0.6215005599104143,0.34234234234234234,12050.0
Compas Sex,Upsample uniform,Majority,5,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,12050.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",6,0.686385737439222,0.7361702127659574,0.06149553809128273,0.9164655985465234,0.6746746746746747,0.6779756609049314,0.9232551700636806,0.62895493767977,0.7723214285714286,0.8157894736842105,0.056174089068825935,0.9311414392059552,0.7596153846153846,0.5836298932384342,0.5903614457831325,0.007897980229896628,0.9866217885901752,0.5824634655532359,0.3897893030794165,0.3276595744680851,0.07674482993631931,0.8102275121129133,0.4044044044044044,14460.0
Compas Sex,Upsample uniform,SVM,6,0.7050243111831442,0.7617021276595745,0.07001043596788281,0.9080868578075282,0.6916916916916916,0.6915935858329096,0.8997124784358826,0.6255144032921811,0.8422619047619048,0.8947368421052632,0.06781376518218629,0.9242081447963799,0.8269230769230769,0.5409252669039146,0.5180722891566265,0.0268128882964006,0.950791672436874,0.5448851774530271,0.3322528363047001,0.251063829787234,0.10028752156411737,0.7145662847790506,0.35135135135135137,14460.0
Compas Sex,Upsample uniform,Majority,6,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,14460.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",7,0.6717990275526742,0.7574468085106383,0.10579515685898666,0.8603266187535851,0.6516516516516516,0.6635633790882901,0.8404063638106192,0.6131805157593123,0.7559523809523809,0.8815789473684209,0.1623481781376518,0.8158438576349024,0.7192307692307692,0.5711743772241993,0.5301204819277109,0.048167618281057416,0.9167065373406984,0.5782881002087683,0.3930307941653161,0.2638297872340425,0.15959363618938088,0.6230873698506111,0.4234234234234234,16870.0
Compas Sex,Upsample uniform,SVM,7,0.6880064829821718,0.7574468085106383,0.08577513683896665,0.8867575440609148,0.6716716716716716,0.6777161709879681,0.8388984729410262,0.6214355948869223,0.7931547619047619,0.9013157894736842,0.13977732793522268,0.8449185850645704,0.7615384615384615,0.5622775800711743,0.4939759036144578,0.08013683124984278,0.8604162102957283,0.5741127348643006,0.3687196110210697,0.23829787234042554,0.16110152705897385,0.5966405375139978,0.3993993993993994,16870.0
Compas Sex,Upsample uniform,Majority,7,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,16870.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",8,0.6815235008103727,0.7148936170212766,0.041219943347602934,0.9423411506744841,0.6736736736736737,0.6703074690730384,0.8614231252529125,0.6089552238805971,0.7961309523809523,0.8618421052631579,0.08491902834008093,0.9014679976512038,0.7769230769230769,0.5444839857651246,0.4457831325301205,0.11580350630077718,0.7937922694495454,0.5615866388308977,0.3589951377633712,0.2468085106382979,0.1385768747470875,0.6404200055263886,0.38538538538538536,19280.0
Compas Sex,Upsample uniform,SVM,8,0.6952998379254457,0.7106382978723405,0.01894660618064881,0.9733386080691468,0.6916916916916916,0.6823737502118286,0.8391412689285029,0.616326530612245,0.8273809523809523,0.8881578947368421,0.07854251012145752,0.9115669515669516,0.8096153846153846,0.5373665480427047,0.3855421686746988,0.17813215282843275,0.6839803659080768,0.5636743215031316,0.3387358184764992,0.20851063829787236,0.16085873107149706,0.5645044110015568,0.36936936936936937,19280.0
Compas Sex,Upsample uniform,Majority,8,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,19280.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",9,0.6547811993517018,0.6595744680851063,0.005920814431452648,0.9910232813458622,0.6536536536536537,0.6475014827995255,0.8516729495452899,0.5988700564971751,0.7291666666666666,0.7894736842105263,0.07793522267206476,0.9012820512820513,0.7115384615384616,0.5658362989323843,0.42168674698795183,0.1691274492542194,0.7137383456085827,0.5908141962421712,0.4051863857374392,0.2851063829787234,0.14832705045471,0.6577858581887869,0.43343343343343343,21690.0
Compas Sex,Upsample uniform,SVM,9,0.6880064829821718,0.7361702127659574,0.05949353608928076,0.919185081034792,0.6766766766766766,0.6787355956617522,0.8616786999765723,0.6265761396702231,0.7827380952380952,0.8618421052631579,0.10222672064777327,0.8813857897827363,0.7596153846153846,0.5747330960854092,0.5060240963855421,0.08061473451216139,0.8625820006002658,0.5866388308977035,0.38006482982171796,0.2680851063829787,0.13832130002342768,0.6596478356566398,0.4064064064064064,21690.0
Compas Sex,Upsample uniform,Majority,9,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,21690.0
