dataset,transform,model,split_id,Accuracy,Accuracy_race_White_0,Accuracy_race_White_0-race_White_1,Accuracy_race_White_0/race_White_1,Accuracy_race_White_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,percent_dropped,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed
Adult Race-Binary,Upsample uniform,SVM,3,0.8880537974683544,0.8837025316455697,0.008702531645569556,0.9902482269503546,0.8924050632911392,0.7497838345864661,0.9881329113924052,0.6074895977808598,1.0,0.9520676691729324,0.9530075187969924,0.0018796992481203696,0.9980276134122288,0.9511278195488722,0.5475,0.515,0.06499999999999995,0.8879310344827587,0.58,0.7204776647501105,0.12697784810126586,0.12104430379746835,0.011867088607594915,0.9107142857142858,0.13291139240506328,7230.0
Adult Race-Binary,Upsample uniform,Majority,3,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,7230.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",4,0.8714398734177216,0.8757911392405063,0.008702531645569667,0.990063233965673,0.8670886075949367,0.7460056390977443,0.9833860759493672,0.5806451612903225,1.0,0.9295112781954888,0.93703007518797,0.015037593984962403,0.9839518555667,0.9219924812030076,0.5625,0.55,0.024999999999999908,0.9565217391304348,0.575,0.7204776647501105,0.14833860759493672,0.14003164556962025,0.016613924050632917,0.8939393939393939,0.15664556962025314,9640.0
Adult Race-Binary,Upsample uniform,SVM,4,0.8928006329113924,0.8892405063291139,0.007120253164557,0.9920564872021184,0.8963607594936709,0.7586936090225564,0.9833860759493672,0.6241331484049929,1.0,0.9548872180451128,0.9577067669172932,0.005639097744360999,0.9941118743866536,0.9520676691729324,0.5625,0.525,0.07499999999999996,0.8750000000000001,0.6,0.7204776647501105,0.12697784810126586,0.11867088607594935,0.016613924050632917,0.8771929824561403,0.13528481012658228,9640.0
Adult Race-Binary,Upsample uniform,Majority,4,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,9640.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",5,0.8864715189873418,0.8860759493670886,0.0007911392405063332,0.9991079393398752,0.8868670886075949,0.7630545112781955,0.9960443037974684,0.6188579017264276,1.0,0.943609022556391,0.9445488721804512,0.001879699248120259,0.9980099502487564,0.9426691729323308,0.5825,0.575,0.015000000000000013,0.9745762711864406,0.59,0.7204776647501105,0.13963607594936708,0.13765822784810128,0.003955696202531639,0.9720670391061452,0.14161392405063292,12050.0
Adult Race-Binary,Upsample uniform,SVM,5,0.8979430379746836,0.8987341772151899,0.0015822784810126669,0.9982394366197184,0.8971518987341772,0.7617481203007519,1.0,0.6355932203389829,1.0,0.9609962406015038,0.9614661654135338,0.0009398496240601297,0.9990224828934506,0.9605263157894736,0.5625,0.565,0.0049999999999998926,0.9911504424778764,0.56,0.7204776647501105,0.12183544303797468,0.12183544303797468,0.0,1.0,0.12183544303797468,12050.0
Adult Race-Binary,Upsample uniform,Majority,5,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,12050.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",6,0.8801424050632911,0.8852848101265823,0.010284810126582332,0.9883824843610366,0.875,0.7460996240601504,0.9675632911392404,0.5921938088829071,1.0,0.9421992481203008,0.9548872180451128,0.02537593984962405,0.9734251968503936,0.9295112781954888,0.55,0.515,0.06999999999999995,0.8803418803418804,0.585,0.7204776647501105,0.13568037974683544,0.1194620253164557,0.0324367088607595,0.7864583333333333,0.1518987341772152,14460.0
Adult Race-Binary,Upsample uniform,SVM,6,0.9026898734177216,0.9050632911392406,0.004746835443038,0.9947552447552448,0.9003164556962026,0.7676127819548872,0.9920886075949368,0.6495726495726495,1.0,0.9652255639097744,0.9689849624060152,0.007518796992481258,0.9922405431619786,0.9614661654135338,0.57,0.565,0.010000000000000007,0.982608695652174,0.575,0.7204776647501105,0.1194620253164557,0.11550632911392406,0.007911392405063292,0.9358974358974358,0.12341772151898735,14460.0
Adult Race-Binary,Upsample uniform,Majority,6,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,14460.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",7,0.8892405063291139,0.8963607594936709,0.014240506329113887,0.9841129744042366,0.8821202531645571,0.7707894736842105,0.9778481012658228,0.6306068601583114,1.0,0.9440789473684208,0.9548872180451128,0.021616541353383426,0.9773622047244096,0.9332706766917294,0.5975,0.585,0.025000000000000026,0.9590163934426228,0.61,0.7204776647501105,0.14161392405063292,0.1305379746835443,0.022151898734177226,0.854922279792746,0.15268987341772153,16870.0
Adult Race-Binary,Upsample uniform,SVM,7,0.9007120253164557,0.9066455696202532,0.011867088607594887,0.9869109947643979,0.8947784810126582,0.7694830827067669,0.9960443037974684,0.6479663394109397,1.0,0.9614661654135338,0.9661654135338346,0.009398496240601515,0.990272373540856,0.9567669172932328,0.5775,0.59,0.025000000000000026,0.9576271186440678,0.565,0.7204776647501105,0.1238132911392405,0.12183544303797468,0.003955696202531653,0.9685534591194968,0.12579113924050633,16870.0
Adult Race-Binary,Upsample uniform,Majority,7,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,16870.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",8,0.8848892405063291,0.8844936708860759,0.0007911392405063332,0.9991063449508488,0.8852848101265823,0.7702349624060151,0.9833860759493672,0.6235446313065978,1.0,0.93796992481203,0.9426691729323308,0.009398496240601515,0.9900299102691924,0.9332706766917294,0.6025,0.575,0.05500000000000005,0.9126984126984128,0.63,0.7204776647501105,0.1475474683544304,0.13924050632911392,0.016613924050632917,0.8934010152284264,0.15585443037974686,19280.0
Adult Race-Binary,Upsample uniform,SVM,8,0.9022943037974684,0.9058544303797468,0.007120253164557,0.9921397379912664,0.8987341772151899,0.7744830827067669,0.9912974683544304,0.6555090655509066,1.0,0.9614661654135338,0.9661654135338346,0.009398496240601515,0.990272373540856,0.9567669172932329,0.5875,0.585,0.0050000000000000044,0.9915254237288136,0.59,0.7204776647501105,0.12539556962025314,0.12104430379746835,0.008702531645569611,0.9329268292682928,0.12974683544303794,19280.0
Adult Race-Binary,Upsample uniform,Majority,8,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,19280.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",9,0.8864715189873418,0.8987341772151899,0.024525316455696222,0.9727112676056338,0.8742088607594937,0.7721898496240601,0.9754746835443038,0.6277561608300908,1.0,0.9393796992481203,0.9539473684210527,0.02913533834586468,0.9694581280788177,0.924812030075188,0.605,0.605,0.0,1.0,0.605,0.7204776647501105,0.14675632911392406,0.13449367088607594,0.024525316455696194,0.845771144278607,0.15901898734177214,21690.0
Adult Race-Binary,Upsample uniform,SVM,9,0.9018987341772152,0.9098101265822784,0.015822784810126556,0.9826086956521739,0.8939873417721519,0.7803383458646617,0.9857594936708861,0.6602739726027397,1.0,0.9581766917293233,0.9671052631578947,0.017857142857142794,0.9815354713313897,0.9492481203007519,0.6025,0.605,0.0050000000000000044,0.9917355371900827,0.6,0.7204776647501105,0.1305379746835443,0.12341772151898735,0.01424050632911393,0.896551724137931,0.13765822784810128,21690.0
Adult Race-Binary,Upsample uniform,Majority,9,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,21690.0
